Step,MG1_Cost(Euro),MG2_Cost(Euro),MG3_Cost(Euro),MG4_Cost(Euro),DG_Cost(Euro),Total_System_Cost(Euro),Network_Loss(MW)
0,-0.10973933750000006,-0.18381220000000004,0.0,-0.08634908750000007,-0.8913053125000003,-1.2712059375000004,0.06985434982684804
1,-0.2135414124999997,0.029166374999999876,0.1566372375,-0.19690238750000008,-0.4392223374999994,-0.6638625249999993,0.06801488361836117
2,-0.2415892375,-0.31421438750000014,0.0,-0.11369312499999985,-1.622242125,-2.291738875,0.06530259118109913
3,-0.14015316250000018,-0.30871961249999985,0.0,-0.21813366250000008,-1.6418620000000002,-2.3088684375,0.06372693190886278
4,-0.8640077874999997,-0.47374031249999987,0.15803878124999995,-0.39649252500000004,-3.650766843749999,-5.2269686874999985,0.06067748989332713
5,-0.7568229499999997,-0.4002123125,0.09006129999999997,-0.25084052500000004,-3.1492638374999995,-4.467078324999999,0.06034149174515901
6,-0.6679892374999997,-0.4819319374999998,0.06675952499999996,-0.34001256250000006,-3.467416012499999,-4.890590224999999,0.059365664860193984
7,0.0,-0.4546928749999998,0.0,0.0,-1.1542203749999993,-1.6089132499999992,0.06083350810231659
8,0.4295325,-0.5397912000000001,0.09941041250000002,-0.21304318749999995,-1.44239205,-1.666283525,0.06015347548957982
9,0.6386641875000002,-0.7216745250000002,0.0,0.0,-1.8319430250000006,-1.9149533625000006,0.06016627892718056
10,-0.31543346250000015,-0.7046240500000002,0.03554346250000004,-0.2939145625000001,-3.167905537500001,-4.446334150000001,0.059455914539940445
11,-1.6391032125,-0.48679475000000016,0.025157037500000003,-0.37634626250000014,-6.233253262500002,-8.710340450000002,0.05826463094457993
12,0.0,-0.6791064062499997,0.13732958750000018,-0.2523987500000001,-1.811762699999999,-2.605938268749999,0.0618553419946531
13,-1.2488818874999998,-0.8244651999999999,0.08226041250000007,-0.27234886250000007,-5.566659862499999,-7.8300953999999985,0.06054262995344319
14,-1.8281685499999998,-0.920313225,0.10200111250000005,0.0,-6.496052887499999,-9.14253355,0.06148747891200631
15,-1.7154210124999996,-0.6193053750000002,0.05617963750000006,-0.29447275000000017,-6.409274024999998,-8.982293525,0.06338723483663403
16,-1.8637648249999996,-0.7288295625000001,0.0,-0.3622539375000001,-7.500768825000001,-10.45561715,0.06460354665290172
17,-1.7854745999999997,-0.6803379375,0.12993645000000006,-0.4182618375000001,-6.708554324999999,-9.462692249999998,0.06725907625193628
18,-2.0161368499999996,-0.630836375,0.0,-0.3794945375,-7.682572012499999,-10.709039774999997,0.06941903989779125
19,-1.8466040125,-0.6731999625000002,0.0,-0.30531442500000017,-7.171454400000002,-9.996572800000003,0.07267165518917798
20,-2.189711875,-0.601714425,0.06825717500000002,-0.49010357499999996,-8.008253550000001,-11.22152625,0.07504237041160818
21,-2.1766675124999995,-0.6845359625000002,0.0,-0.5507281000000002,-8.661057075,-12.07298865,0.07797351312503242
22,0.0,-0.37110888749999993,0.0,-0.3786914625000001,-1.9033393500000002,-2.6531397,0.08750820656809016
23,-2.169760775,-0.3331209375000001,0.0,-0.1279438875000002,-6.678249599999999,-9.309075199999999,0.08802290962256001
24,-2.2237024875,-0.01032655000000025,0.0,0.0,-5.670996787500002,-7.905025825000003,0.09370775286031713
25,-2.140828625,-0.07918007499999996,0.0,0.12627749999999985,-5.635406700000001,-7.729137900000001,0.09836369636223784
26,-2.2999981875000004,-0.12373334999999985,0.0,0.0,-6.152549287500001,-8.576280825000001,0.10284984338887268
27,-2.2886683625,0.0,0.0,0.0,-5.8096966125,-8.098364974999999,0.10856858261552815
28,-1.1546319456101628e-16,-0.7265674,-0.1705213249999999,0.0,-2.2772252249999996,-3.1743139499999993,0.1167177356512333
29,-2.1834587125000002,-0.9113505374999998,-0.22454233750000005,0.0,-8.4260463375,-11.745397925,0.11653018794406572
30,-2.229740825,-1.0662180749999999,-0.24567188750000005,0.0,-8.990293537500001,-12.531924325,0.12175829156881844
31,-2.38466085,-1.3313309749999997,-0.146198325,0.0,-9.804021149999999,-13.666211299999999,0.12665401495015854
32,-2.507793275,-2.431206862500001,-0.7339812999999998,0.0,-14.400645187500002,-20.073626625000003,0.12775668728189513
33,-2.1727951375000005,-1.3200747625000009,-0.6311826624999998,0.0,-10.468748812500003,-14.592801375000004,0.13932260443631864
34,-2.33395045,-0.836063150000001,0.0,-0.209844375,-8.579639475000004,-11.959497450000004,0.14757528241571594
35,-2.4907441000000006,-0.9714677374999997,0.6656915125000005,-0.14279151250000016,-6.012902362499998,-8.952214199999998,0.1554974694028211
36,-2.364935625,-3.0791125625,-2.2102284750000005,0.0,-19.430086912500006,-27.084363575000005,0.14942137284342452
37,-2.3340817499999997,-2.9732547000000005,-2.3092638912203257e-16,3.2410535625000003,-13.472469450000002,-15.538752337500002,0.1598812445895012
38,-2.2947586999999996,-2.9589148875000006,-2.1898012500000004,0.0,-18.894974587500002,-26.338449425,0.16334854973630306
39,-2.2815949000000004,-2.995426525000001,0.0,0.0,-13.395515925000005,-18.672537350000006,0.17329721010208837
40,-1.2743628624999996,-3.20996585,-2.2899378125,-0.4145097124999998,-18.2484319875,-25.437208225,0.1764810659696659
41,-1.8707415999999997,-3.2079206249999994,-1.6433248,0.0,-17.063505525,-23.78549255,0.18397424373504054
42,0.0,-3.165700524999999,0.0,-1.86717765,-12.775767674999997,-17.808645849999998,0.1906835561725057
43,0.03689399999999949,-3.1100985499999996,0.0,0.0,-7.894865549999999,-10.968070099999998,0.20571231632936265
44,0.0,-3.1155809750000008,0.0,-2.2433591374999997,-13.603463362500001,-18.962403475000002,0.20113666339891506
45,-2.1941421125,-3.2260387250000004,-2.0448393874999993,-1.3314162874999997,-22.329415762499995,-31.125852274999993,0.19964395496000978
