Step,MG1_Cost(Euro),MG2_Cost(Euro),MG3_Cost(Euro),MG4_Cost(Euro),DG_Cost(Euro),Total_System_Cost(Euro),Network_Loss(MW)
0,-0.10973933750000006,-0.18381220000000004,0.2611049999999999,-0.08634908750000007,-0.8766937500000003,-0.9954893750000005,0.06985434982684804
1,-0.2135414124999997,0.01944424999999992,0.2610620625,-0.19690238750000008,-0.8888452499999997,-1.0187827374999996,0.06786294759767322
2,-0.2415892375,-0.31421438750000014,0.2643654374999999,-0.11369312499999985,-1.5449925,-1.9501238125,0.06530259118109913
3,-0.14015316250000018,-0.30871961249999985,0.1382518125,-0.21813366250000008,-1.539245625,-2.06800025,0.06372693190886278
4,-0.8640077874999997,-0.47374031249999987,0.31607756249999996,-0.39649252500000004,-4.002093749999999,-5.420256812499999,0.06042213274121788
5,-0.7568229499999997,-0.4002123125,0.19298849999999992,-0.25084052500000004,-3.2489441249999995,-4.463831412499999,0.06018667258667706
6,-0.6679892374999997,-0.4819319374999998,0.1430561249999999,-0.34001256250000006,-3.4956137687499984,-4.842491381249998,0.05925174512143901
7,-0.47469581249999987,0.0,0.11244975000000003,-0.34644155,-1.8949323749999998,-2.6036199874999997,0.06037246532524053
8,0.4295325,-0.5397912000000001,0.0,-0.21304318749999995,-1.7373101250000003,-2.0606120125000005,0.05998330045400238
9,0.6386641875000002,-0.7216745250000002,0.2591040000000001,-0.2849946124999999,-2.3230826250000005,-2.4319835750000003,0.05949883727404902
10,-0.31543346250000015,0.0,0.07616456250000007,-0.2939145625000001,-1.4061877500000006,-1.9393712125000007,0.06117318493834703
11,-1.6391032125,-0.48679475000000016,0.0539079375,-0.37634626250000014,-5.870649912500001,-8.318986200000001,0.058221908762805204
12,-1.8301877749999997,-0.7062706624999997,0.0,-0.26249470000000014,-6.459122624999999,-9.258075762499999,0.058560874648294986
13,-1.2488818874999998,-0.8244651999999999,0.1762723125000001,-0.27234886250000007,-5.4131445,-7.582568137499999,0.060399904918018846
14,-1.8281685499999998,-0.920313225,0.14571587500000005,-0.3981973125,-6.824419499999999,-9.825382712499998,0.06054289903008976
15,-1.7154210124999996,-0.6193053750000002,0.08025662500000008,-0.29447275000000017,-5.826612749999999,-8.375555262499999,0.06338723483663403
16,-1.8637648249999996,-0.7288295625000001,0.2686468125000001,-0.3622539375000001,-6.81888075,-9.5050822625,0.06460354665290172
17,-1.7854745999999997,-0.6803379375,0.17634232500000008,-0.4182618375000001,-6.200330512499999,-8.9080625625,0.06725907625193628
18,-2.0161368499999996,-0.630836375,0.04796741250000009,-0.3794945375,-7.051740499999998,-10.030240849999998,0.06948856915300591
19,-1.8466040125,0.0,0.11719900625000003,-0.30531442500000017,-4.672461225,-6.70718065625,0.07472995128386384
20,-2.189711875,-0.601714425,0.0,-0.49010357499999996,-7.698973937499999,-10.980503812499999,0.07490982252072136
21,-2.1766675124999995,-0.6845359625000002,0.15949425000000012,-0.5507281000000002,-7.395205499999999,-10.647642824999998,0.07819537129727529
22,-2.0359221999999995,-0.37110888749999993,0.0638420000000001,-0.3786914625000001,-6.237064499999999,-8.958945049999997,0.08347905365228854
23,-2.169760775,-0.3331209375000001,0.09971899999999999,-0.1279438875000002,-5.771979000000001,-8.303085600000001,0.08816914835092426
24,-2.2237024875,0.0,0.1303481250000001,0.0,-4.740576750000001,-6.8339311125,0.09393801954549616
25,-2.140828625,-0.07918007499999996,0.19031812500000012,0.0,-4.552142625,-6.5818332,0.09865859320235537
26,-2.2999981875000004,-0.12373334999999985,0.15965937500000013,0.0,-5.1142485,-7.3783206625,0.10310307829896928
27,-2.2886683625,0.4861513749999999,0.0,0.0,-3.8230882500000005,-5.6256052375,0.11083600313880265
28,-2.3423729875,-0.7265674,-0.1705213249999999,0.0,-7.475680875,-10.7151425875,0.11117551610807427
29,-2.1834587125000002,-0.9113505374999998,-0.22454233750000005,0.0,-7.660042125,-10.9793937125,0.11653018794406572
30,-2.229740825,-1.0662180749999999,-0.24567188750000005,0.0,-8.172994125,-11.7146249125,0.12175829156881844
31,-2.38466085,-1.3313309749999997,-0.146198325,0.0,-8.912746499999999,-12.774936649999999,0.12665401495015854
32,-2.507793275,-2.431206862500001,-0.7339812999999998,0.0,-13.091495625000002,-18.764477062500003,0.12775668728189513
33,-2.1727951375000005,-1.3200747625000009,-0.6311826624999998,0.0,-9.517044375000003,-13.641096937500004,0.13932260443631864
34,-2.33395045,-0.836063150000001,-0.011586412499999721,-0.209844375,-7.826410125000002,-11.217854512500004,0.1475581757843552
35,-2.4907441000000006,-0.9714677374999997,0.0,-0.14279151250000016,-8.3192385,-11.924241850000001,0.15360211725804127
36,-2.364935625,-3.0791125625,-2.2102284750000005,0.0,-17.663715375000002,-25.317992037500005,0.14942137284342452
37,-2.3340817499999997,-2.9732547000000005,-2.3471306625,0.0,-17.664154875,-25.318621987500002,0.15632524809714432
38,-2.2947586999999996,-2.9589148875000006,-2.1898012500000004,0.0,-17.177249625,-24.6207244625,0.16334854973630306
39,-2.2815949000000004,-2.995426525000001,-1.507432225,0.0,-15.656431500000004,-22.440885150000007,0.17088983350096681
40,-1.2743628624999996,-3.20996585,-2.2899378125,-0.4145097124999998,-16.589483625,-23.7782598625,0.1764810659696659
41,-1.8707415999999997,-3.2079206249999994,-1.6433248,-1.5956822375000002,-19.194621374999997,-27.512290637499994,0.17695468423943173
42,-2.2072597625,-3.165700524999999,-0.7764183374999998,-1.86717765,-18.499745249999997,-26.516301524999996,0.1825039023533565
43,0.024595999999999663,-3.1100985499999996,-0.8775311999999993,-1.889875975,-13.489686749999997,-19.342596474999997,0.19551529321852018
44,-0.5340811124999998,-3.1155809750000008,-1.6786627000000003,-2.2433591374999997,-17.473116750000003,-25.044800675000005,0.19649131622020768
45,-2.1941421125,-3.2260387250000004,-2.0448393874999993,-1.3314162874999997,-20.299468874999995,-29.095905387499997,0.19964395496000978
46,-2.4483268875,-3.1564560625,-2.710851975,-2.2516030874999995,-24.385933875,-34.9531718875,0.19886299478212743
47,-2.7028512874999997,-2.9899263875,-3.4695740625,-2.534552475,-26.992855874999997,-38.6897600875,0.20093327240062536
48,-3.2178381625000005,-2.3795425875,-3.3792373874999995,-1.5665625625000001,-24.330417,-34.873597700000005,0.2112352290102822
49,-3.3190959750000006,-0.34590367500000013,-3.2712086874999997,-1.5754063,-19.642187625000005,-28.153802262500005,0.22561607112242402
50,-2.8586925250000004,-1.6350673624999998,-3.2021928249999996,0.0,-17.759890875,-25.4558435875,0.2319232904010022
51,-1.9566577875000004,-2.4160469125,-3.2610111625,-1.6074478875000002,-21.325762500000003,-30.566926250000005,0.22581311813869237
52,-2.9415806875,-0.6280703000000003,-1.9407451375000007,-0.9683875499999999,-14.951039250000001,-21.429822925000003,0.2401247996920809
53,-2.9735641000000004,-0.935820275,-1.6820782875000007,-0.9328156500000001,-15.056026875,-21.580305187500002,0.24099517549182897
54,-2.8267913375,-0.9245341625,-1.6481465000000002,-0.9967576124999998,-14.760529875,-21.1567594875,0.24278430682218116
55,-1.5591290000000002,-0.9788603500000003,-1.8835839750000005,-1.0018424,-12.515574750000003,-17.938990475000004,0.24752689911330356
56,-1.299879425,-0.22271632499999972,-1.6485855749999998,-0.8088903874999999,-9.184780875,-13.164852587499999,0.254599158406029
57,-2.4343288125000004,-0.227442475,-1.3887302000000001,-0.7071972375,-10.979304750000002,-15.737003475000003,0.2510732300223162
58,-2.3934382875000004,-0.26076488749999976,0.0,-0.8291684375,-8.038549875000001,-11.521921487500002,0.2521646408236341
59,-1.8155618000000007,-0.13943328749999984,0.0,-0.8234690750000001,-6.411840375000001,-9.190304537500001,0.2535414055073015
60,-0.6695966874999996,-0.26033231249999994,0.0,-0.6686925375000001,-3.689126624999999,-5.287748162499999,0.25584794166244873
61,0.024013749999999945,0.0,0.0,0.0,-0.03121787499999993,-0.007204124999999985,0.260910763492263
62,-0.6621762875000001,0.0,0.0,0.0,-1.5280991250000004,-2.1902754125000006,0.25499379424652235
63,-1.4758575,0.0,0.0,-0.4088842875,-4.349404125,-6.234145912500001,0.24603163816675203
64,-2.3492494999999995,0.0,0.0,-0.9313734625,-7.5706683749999995,-10.8512913375,0.23596971435395409
65,-2.1317642125000003,0.0,0.0,-0.7458189374999998,-6.640576500000001,-9.518159650000001,0.23301605133000247
66,-1.6598580375000003,0.0,0.10451487499999992,-0.60670545,-4.9169865,-7.079035112500001,0.23052760136406794
67,-1.8766449,0.0,0.0,-0.6192398874999997,-5.759734124999999,-8.255618912499997,0.2239600117642198
68,-1.6594058,0.0,-0.19996031249999932,-0.8695014249999999,-6.297386624999998,-9.026254162499997,0.21730668572010153
69,-1.7931912374999999,0.0,0.0,0.0,-4.138133625,-5.9313248625,0.21525060555434605
70,-1.5158354249999997,0.0,0.0,0.0,-3.498081749999999,-5.013917174999999,0.2097385366353768
71,-1.8837095874999998,0.0,1.4096225000000002,0.0,-0.11815462499999896,-0.5922417124999986,0.20509521195257047
72,-1.7265449499999996,0.0,0.0,0.856246375,-1.4155953749999992,-2.285893949999999,0.200720524880813
73,-1.5412184125000001,0.0,0.0,1.9482931250000002,-0.6038221500000001,-0.1967474375,0.2009302507643987
74,0.0,0.0,0.0,1.42664075,-0.8029922250000001,0.6236485249999999,0.1954222211528584
75,0.0,0.0,0.0,0.10955542499999994,-0.14415187499999993,-0.03459644999999999,0.1804710417061951
76,-0.9004274999999997,0.0,0.0,0.1622696187500002,-1.6760722187499986,-2.414230099999998,0.1707840608307918
77,-0.4895464062499997,0.0,0.0,1.1368370937500005,-0.5762583750000001,0.07103231250000075,0.1705732492964374
78,-1.0319098437499998,0.0,0.4613774750000002,0.4221273937500004,-0.13059656250000096,-0.27900153750000023,0.15870736268571964
79,-1.4552895312499998,0.0,0.0,0.7073556312500003,-1.2799225874999987,-2.027856487499998,0.15116473493117505
80,-0.4066254687499997,0.0,0.18486144999999995,0.46792701249999935,-0.4523067187499994,-0.2061437249999998,0.14644519466221567
81,-0.8185765624999997,0.0,0.0,0.21223356249999978,-1.315945375,-1.922288375,0.13698565951383862
82,-0.8555004249999998,0.0,0.0,0.7970321875000002,-0.23517520000000042,-0.29364343750000005,0.1335299679060445
83,-0.3469522874999995,0.0,0.0,1.3444008125000004,-0.7194817125000003,0.27796681250000066,0.13133495744031398
84,-0.6953405875000004,-2.3092638912203257e-16,0.0,0.79055449375,-0.38647082499999935,-0.29125691875,0.12166133656236944
85,-1.7707400750000004,0.0,0.0,0.6923121437500002,-1.93174228125,-3.0101702125000003,0.11291009927654293
86,-1.6883330750000005,0.0,0.0,0.54097524375,-2.224273881250001,-3.371631712500002,0.10703117344601826
