Step,MG1_Cost(Euro),MG2_Cost(Euro),MG3_Cost(Euro),MG4_Cost(Euro),DG_Cost(Euro),Total_System_Cost(Euro),Network_Loss(MW)
0,-0.10551859375000006,-0.17674250000000002,0.0,-0.08302796875000007,-0.8913053125000003,-1.2565943750000006,0.06985434982684804
1,-0.2053282812499997,0.018472037499999924,0.0,-0.18932921875000008,-0.9036593374999997,-1.2798447999999996,0.06786294759767322
2,-0.2415892375,-0.31421438750000014,0.0,-0.11369312499999985,-1.5449925,-2.2144892499999997,0.06530259118109913
3,-0.14015316250000018,-0.30871961249999985,0.0,-0.21813366250000008,-1.539245625,-2.2062520625,0.06372693190886278
4,-0.8307767187499997,-0.4555195312499999,0.0,-0.38124281250000003,-4.068795312499999,-5.736334374999998,0.06042213274121788
5,-0.6986057999999997,-0.36942675,0.0,-0.2315451,-3.3572422625,-4.6568199125,0.06018667258667706
6,-0.6166054499999997,-0.4448602499999998,0.0,-0.31385775,-3.5529189124999982,-4.928242362499997,0.05925174512143901
7,-0.4199232187499998,-0.40222831249999974,0.0,-0.30646752499999996,-3.0914348062499992,-4.220053862499999,0.05922415967072581
8,0.0,-0.47750760000000003,0.0,-0.18846128124999995,-1.8241756312500004,-2.4901445125000006,0.05998330045400238
9,0.0,-0.6106476750000001,0.0,-0.24114928749999992,-2.477954800000001,-3.329751762500001,0.05949883727404902
10,-0.2547731812500001,-0.569119425,0.0,-0.23739253125000004,-3.2849301875000005,-4.346215325000001,0.05939524327221686
11,-1.2608486250000002,-0.3744575000000001,0.0,-0.28949712500000013,-6.351850725000002,-8.276653975000002,0.058221908762805204
12,-1.4782285874999999,-0.5704493812499999,0.0,-0.21201495000000012,-6.99738284375,-9.258075762499999,0.058560874648294986
13,-0.9606783749999999,-0.634204,0.0,-0.20949912500000006,-5.954458949999999,-7.758840449999999,0.060399904918018846
14,-1.4765976749999998,-0.7433299125,0.0,-0.32162090625,-7.86669771875,-10.4082462125,0.060364891542108376
15,-1.4515100874999998,-0.5240276250000002,0.0,-0.24916925000000015,-6.471874799999999,-8.6965817625,0.06328749965056962
16,-1.6487150374999997,-0.6447338437500001,0.0,-0.32045540625000013,-7.1598247875,-9.773729075,0.06460354665290172
17,-1.5107861999999999,-0.5756705625000001,0.0,-0.3539138625000002,-7.099259999999999,-9.539630625,0.06702046961445662
18,-1.6284182249999997,-0.5095216875,0.0,-0.30651481875000003,-7.566169406249999,-10.010624137499999,0.06941903989779125
19,-1.5625110875000001,-0.5696307375000003,0.0,-0.2583429750000002,-6.954137600000001,-9.344622400000002,0.07267165518917798
20,-1.9370528125000002,-0.5322858375000001,0.0,-0.4335531625,-7.951399312499999,-10.854291125,0.07490982252072136
21,-1.8417955874999998,-0.5792227375000002,0.0,-0.46600070000000016,-8.3986008,-11.285619825000001,0.07797351312503242
