Step,Bus_1,Bus_2,Bus_3,Bus_4,Bus_5,Bus_6,Bus_7,Bus_8,Bus_9,Bus_10,Bus_11,Bus_12,Bus_13,Bus_14,Bus_15,Bus_16,Bus_17,Bus_18,Bus_19,Bus_20,Bus_21,Bus_22,Bus_23,Bus_24,Bus_25,Bus_26,Bus_27,Bus_28,Bus_29,Bus_30,Bus_31,Bus_32,Bus_33
0,1.05,1.0482420052971397,1.0399206550623843,1.0355388419437435,1.0312129170492705,1.0204565138646968,1.0184270818709154,1.0156191466608988,1.0119836096039374,1.0086170620246844,1.008120193693608,1.007255433555049,1.0037398096293348,1.002440060760909,1.001640542128811,1.0008728665160467,0.9997527646917067,0.9994301965955318,1.0479208438555025,1.045747090182244,1.0453190700042725,1.0449318487919195,1.0377618025146442,1.0337467141129533,1.0317468761907804,1.0193267157661017,1.0178264697946653,1.0111309750147512,1.0063231215800361,1.004245155570025,1.0018272208232744,1.0012977382118462,1.0011400160633694
1,1.05,1.048268344900903,1.0400721806836217,1.035756923810405,1.0314968243160416,1.0209041037440725,1.0188970803486324,1.016115440999103,1.012483503537274,1.0091159941731505,1.0086178827963275,1.007749537884974,1.0042128676805542,1.0029016321377562,1.0020836772015647,1.0012906865834772,1.0001136404400988,0.9997593593330253,1.047951845049307,1.0458096597438846,1.0453878562276602,1.0450062599205117,1.0379450546900446,1.0339889991416824,1.0320185898973595,1.0197965610364212,1.0183262545161755,1.0117619946457586,1.0070495732225262,1.0050159933844722,1.0026626902231035,1.0021505029881816,1.0020062251705961
2,1.05,1.0482975234347334,1.040243668789534,1.0360109133854651,1.031833666676729,1.0214442896513145,1.0194931221773178,1.0168060598027415,1.0133081087679061,1.0100718626778171,1.0095949499129664,1.0087658681540055,1.0053996973205104,1.0041576536906205,1.0034010929631316,1.0026796560532323,1.00164014011228,1.0013508062123533,1.0479851061662655,1.0458705677825224,1.0454542086720946,1.0450775385047504,1.0381443859120292,1.0342401367860885,1.0322955531672298,1.020348079159871,1.0188925605813124,1.0123960627477555,1.0077314562610118,1.0057162590342013,1.003374885746954,1.0028630033989872,1.0027127245650291
3,1.05,1.0483147083373643,1.0403410498421934,1.0361577517517275,1.032029410474689,1.0217617393797582,1.0198256581985616,1.0171546036019343,1.0136966498319118,1.0104973894648421,1.0100259172038466,1.0092062840360234,1.0058784588749081,1.0046505345887835,1.003902466568795,1.0031890540994177,1.0021609053817944,1.0018745797140647,1.0480057729337555,1.0459148131472042,1.045503097268967,1.045130628318387,1.0382530123477183,1.034367381590733,1.032419529838839,1.020683103473876,1.0192512821657191,1.0128582970798525,1.0082691396204317,1.0062895028958474,1.0040017126550584,1.003504520875341,1.0033664215375981
4,1.05,1.048350269316038,1.0405571012234294,1.0365037123303678,1.032508471733214,1.0225612560767021,1.020711597866615,1.0182017233342149,1.0148213127156793,1.0116973551281354,1.0112378842289826,1.0104402895330578,1.007207343034217,1.006017484379964,1.00530197585671,1.0046259464051923,1.0036684245728762,1.0034147422653739,1.048044209324371,1.0459727211518923,1.045564839727043,1.0451958401975197,1.038472869680584,1.0345913566608607,1.032629422410179,1.0215019035949535,1.0200962909463114,1.013816453570896,1.0093104308100724,1.007371724129485,1.0051522379023816,1.00467502004618,1.004556110555562
5,1.05,1.0483615260919268,1.0406210127399607,1.0365721177319354,1.0325798871666403,1.0226434059621459,1.020794696669708,1.0182777895762103,1.014905255374186,1.0117870957857187,1.0113280962181754,1.0105308266233324,1.007296954079165,1.0061054626963781,1.0053849845287008,1.004701528217681,1.0037261938793358,1.0034620402786603,1.048057710356881,1.0460014196146998,1.0455965309418371,1.0452302392530455,1.0385803834769576,1.034785266425119,1.0328950834649575,1.021585442926882,1.020181200870588,1.0139105831429214,1.0094096716761076,1.007469135761983,1.0052308051608585,1.004745395137543,1.0046133139679336
6,1.05,1.048372392630981,1.0406845742961992,1.0366656821488172,1.0327034902107572,1.022840940250323,1.0210026731440665,1.0184999253377058,1.015166884282119,1.0120870280915022,1.0116341216128453,1.0108480268157725,1.0076621995618844,1.006489951133352,1.0057858412466953,1.005121134263611,1.004181125799802,1.00393324304963,1.0480701875679266,1.0460248037435271,1.0456220629110455,1.045257714584003,1.0386549108026164,1.0348801965555416,1.03300018377332,1.0217930118384242,1.0204023957885067,1.0141906790485054,1.0097330057473852,1.0078136571359262,1.0056103195442911,1.0051350809735098,1.0050126505410857
7,1.05,1.048373350525932,1.0406874050547616,1.0366644719920606,1.0326973575659952,1.0228247075000094,1.0209762108393243,1.0184490531685106,1.015120243375489,1.01204375404737,1.011591202672366,1.0108055433030776,1.0076206581372864,1.0064482821637943,1.005742631051594,1.005075464737634,1.0041292944893194,1.0038776666365812,1.0480721129873396,1.0460332808724593,1.0456318302312426,1.0452686492650631,1.0386642691424284,1.0349016999490874,1.0330277410113418,1.021780504343743,1.020394859654022,1.014205188091943,1.0097634182369513,1.0078511316282488,1.0056567890769208,1.0051837073745813,1.005062413071275
8,1.05,1.0483642205106556,1.0406283809324615,1.0365666851666624,1.032558984148612,1.0225906251571422,1.020715169202703,1.0181325192251658,1.014827429879034,1.0117746875004179,1.011326095477009,1.0105479147643899,1.0073961171470953,1.0062375013350982,1.0055449981092912,1.0048935913829413,1.0039786532463555,1.0037423248164625,1.048063303212957,1.0460266396342581,1.0456256160300519,1.0452628214448916,1.0386073060054932,1.0348485713296185,1.0329765236573807,1.0215412020407395,1.0201481850449947,1.0139284590189168,1.0094637151898946,1.0075377862382497,1.0053122049150285,1.0048285492048183,1.0046942513623631
9,1.05,1.0483678569843915,1.0406525422475943,1.0366078585163865,1.0326181039430709,1.0226918864096177,1.0208285813749869,1.0182712006205727,1.015007828056951,1.0119975015832827,1.0115561365418548,1.010791783036966,1.0077018963975786,1.0065694158106393,1.0059029484638478,1.005283207969647,1.0044319891009508,1.004227419040331,1.0480666178601064,1.0460277750021332,1.0456263222451052,1.0452631393642846,1.0386293377104792,1.034866640781538,1.032992618121384,1.021644722791975,1.0202549434008696,1.0140481310019813,1.0095934104001678,1.0076738151335842,1.0054638872022108,1.004985672332771,1.004858308518961
10,1.05,1.0483688288582342,1.0406619580082273,1.036628955748556,1.0326520766317164,1.0227547995016122,1.0209074456354224,1.0183860333777595,1.0151076869219282,1.0120831219529394,1.0116395613341447,1.0108712643559132,1.007764783512205,1.0066258515212814,1.0059544480613625,1.0053293204739548,1.0044685402701918,1.0042599151689968,1.048066622763191,1.0460212319470135,1.0456184897375262,1.045254140164402,1.0386322498511733,1.0348574524688414,1.0329773982132908,1.0217046639240006,1.0203109643078054,1.0140864701415093,1.0096191397586114,1.0076943333893547,1.0054793324518183,1.0050002491651633,1.0048732669037836
11,1.05,1.0483845103621432,1.0407668729667525,1.0368089761429764,1.032911463919295,1.0231996548944702,1.0214239756144246,1.0190533051234059,1.015704810957714,1.0126107170200502,1.0121557290816106,1.011366036368945,1.0081656872416014,1.006988135791495,1.006280970672204,1.0056134689387954,1.0046697472989203,1.0044210755084737,1.0480807013183653,1.0460244559102203,1.0456195761657496,1.0452532925564706,1.038726533299912,1.0349319552974565,1.033042041254055,1.0221480447258764,1.0207526546138057,1.0145188649021202,1.0100457108981409,1.0081206659042041,1.0059148179714206,1.0054400328430595,1.0053203855934003
12,1.05,1.0483781691922174,1.0407341567456516,1.0367693034700067,1.0328662101439976,1.0231375708084471,1.0213784489298074,1.019049738965734,1.0157296979679633,1.012666487529369,1.0122172180081426,1.0114389758646565,1.0082920024098667,1.0071380804848886,1.0064574087386693,1.005823351074784,1.004949460006064,1.0047369999509674,1.0480721173831944,1.0460006846496064,1.045592814143295,1.0452238244942444,1.0386786413076885,1.0348558273463255,1.0329518384731584,1.022072682101524,1.0206592746499428,1.0143475152551509,1.009817168434685,1.0078642115627081,1.005612678418073,1.0051246849409756,1.004992646760841
13,1.05,1.0483495339393005,1.0405620552036343,1.0365192648170165,1.0325371748226635,1.022616592305617,1.0208042012651324,1.0183800839514505,1.015054050721436,1.0119877117853258,1.0115386023263044,1.0107614397886087,1.0076224907301228,1.0064736208636043,1.0058024667932453,1.005181839745481,1.004338820038724,1.0041438843839734,1.0480406088462442,1.0459497189165579,1.0455380167964834,1.0451655602960772,1.0384710548325864,1.0345792782738816,1.0326249152923652,1.0215413780044147,1.0201142810118389,1.0137412253026024,1.0091669469942002,1.0071952510193865,1.004922947849339,1.0044306639712008,1.0042980291945398
14,1.05,1.0483460646635103,1.040551714198013,1.0365262892419793,1.032564851486557,1.0226876367006577,1.0209033113051527,1.0185493996255723,1.0152076013648494,1.012128600708187,1.0116781210157741,1.0108992153060055,1.0077560867915547,1.0066073429405955,1.0059414064972423,1.005329231178495,1.0045075847312663,1.0043257286251857,1.0480336619290611,1.0459192220190683,1.045502882302915,1.045126229686115,1.0384334423960653,1.0344902181433644,1.0325063675666193,1.0216058799985723,1.0201704998697652,1.0137578040876263,1.0091563554924878,1.0071763908749556,1.004908851996751,1.0044211131312144,1.0042990756701644
15,1.05,1.048315888873398,1.0403738972067644,1.0362468517239158,1.0321826539581531,1.022054913600829,1.0202116224663649,1.0177567426743532,1.0142907945364668,1.011090486693254,1.0106204899834705,1.009805527485877,1.0065062523810253,1.0052943594194799,1.0045729688327631,1.0038964304542615,1.0029516671415584,1.0027120032685197,1.0479994034445586,1.0458573158610522,1.0454355315911175,1.0450539527006948,1.0382473962167222,1.0342925041040179,1.0323226753268955,1.0209531487107615,1.019490840083514,1.0129601932421337,1.0082729330466997,1.00625295013737,1.0039267319015086,1.003423210068929,1.003288730306468
16,1.05,1.0482918125203937,1.0402367337196283,1.036070735930321,1.0319694503226182,1.0217461980687594,1.0198918386061866,1.0174335295046506,1.0139399282477972,1.010716221154542,1.0102433404744797,1.0094240910749566,1.006110702259414,1.0048955017831154,1.004177954597357,1.0035090428112599,1.0025857487809693,1.0023601877594654,1.047970666412058,1.045797016632583,1.045369016916555,1.0449818142211402,1.0380544139476038,1.0339911800223043,1.031942944590451,1.0206305821612183,1.0191500877683977,1.0125368479740178,1.0077909584992741,1.0057474833025046,1.0034015872392368,1.0028956269626643,1.002765359658679
17,1.05,1.048265631503204,1.0400880955212328,1.0358420579332552,1.0316613210011978,1.0212411061700815,1.0193426301999442,1.0168172083679174,1.0132492139421012,1.0099555154993325,1.0094720311488714,1.0086339680195546,1.005242416893408,1.0039973950480334,1.0032586946150701,1.0025675932353888,1.0016069865327957,1.00136690780417,1.047939264012049,1.045730254356263,1.045295291302837,1.044901788073345,1.0378944047908325,1.033814493471809,1.031782340130498,1.0201088566154677,1.0186064397816643,1.0118941822012593,1.007077742312427,1.0050052911036689,1.0026319673378377,1.002121540715212,1.001994008879677
18,1.05,1.048234640856677,1.039910741296336,1.0355942054892535,1.0313443584590871,1.0207507443108865,1.0188275021410231,1.0162761225761738,1.0126274133844582,1.0092578344573166,1.0087628694846869,1.0079044553679006,1.0044284351199553,1.0031512324802871,1.0023898471962616,1.0016750321893224,1.0006747482619742,1.0004193644340564,1.047902512539048,1.0456544890998356,1.0452118431218524,1.0448113882294723,1.037670652271818,1.0335030720568932,1.0314199482017634,1.0195955562802463,1.018062527012876,1.0112144967223176,1.006300113482972,1.0041841920356225,1.0017555909665488,1.0012319334162432,1.0010974896863722
19,1.05,1.048196357826495,1.0396888337594745,1.0352660038670831,1.0309101675386283,1.0200548632963997,1.0180805002732984,1.0154522606624594,1.0117385777877332,1.008309608811127,1.0078060863137543,1.006933040913792,1.0033986888546704,1.0021006135438653,1.0013285452505771,1.0006049184798624,0.9995955758533364,0.999340497943936,1.0478579527957546,1.0455674209883496,1.0451164038644587,1.0447083745504555,1.0374131357654426,1.0331806293750565,1.0310723995413422,1.0188729775515601,1.0173042223747788,1.0102983565818122,1.0052698080501823,1.0031024059304299,1.000605073395853,1.0000642374896362,0.9999190636228639
