t,buy_price,sell_price,grid_power,upstream_power,dg_reward,dg_reward_cum
0,0.1,0.13,7.297935999999993,0.0,80.09427650450974,80.09427650450974
1,0.1,0.13,16.304877999999995,1.304877999999995,80.35698206201707,160.4512585665268
2,0.095,0.125,1.6806109999999919,0.0,79.91851980666421,240.36977837319102
3,0.095,0.125,1.917308999999996,0.0,79.92894665654477,320.2987250297358
4,0.09,0.12,-12.602071999999978,0.0,79.5899284125029,399.8886534422387
5,0.09,0.12,-4.81751899999999,0.0,79.76595156669146,479.65460500893016
6,0.095,0.125,-4.511065999999978,0.0,79.76875000933455,559.4233550182647
7,0.09,0.12,-5.134405999999991,0.0,79.76130784800044,639.1846628662652
8,0.09,0.12,-0.4137890000000084,0.0,79.86707946134452,719.0517423276096
9,0.09,0.12,-11.348209000000011,0.0,79.6225620746134,798.674304402223
10,0.09,0.12,-10.433036000000001,0.0,79.64218468905683,878.3164890912799
11,0.09,0.12,-40.121143000000004,0.0,78.9755863004739,957.2920753917538
12,0.09,0.12,-54.254824999999975,0.0,78.65767901522432,1035.9497544069782
13,0.09,0.12,-34.30541299999999,0.0,79.10218467060963,1115.0519390775878
14,0.08499999999999999,0.11499999999999999,-68.30125299999997,0.0,78.42389492749885,1193.4758340050867
15,0.08499999999999999,0.11499999999999999,-46.009809,0.0,78.89061655162149,1272.366450556708
16,0.08499999999999999,0.11499999999999999,-58.21377399999999,0.0,78.62904023261535,1350.9954907893234
17,0.08499999999999999,0.11499999999999999,-49.91561699999998,0.0,78.79946861888564,1429.794959408209
18,0.08499999999999999,0.11499999999999999,-61.298918999999984,0.0,78.5536971010537,1508.3486565092628
19,0.08499999999999999,0.11499999999999999,-52.62540800000002,0.0,78.73106366247008,1587.0797201717328
20,0.08499999999999999,0.11499999999999999,-70.89420999999999,0.0,78.33889720953341,1665.4186173812661
21,0.08499999999999999,0.11499999999999999,-76.511514,0.0,78.2136099650794,1743.6322273463456
22,0.09,0.12,-49.53635599999999,0.0,78.71248435329093,1822.3447116996365
23,0.09,0.12,-51.320443,0.0,78.66403643550764,1901.008748135144
24,0.09,0.12,-40.363096999999996,0.0,78.89920480075405,1979.907952935898
25,0.09,0.12,-39.759144000000006,0.0,78.90339004519723,2058.811342981095
26,0.09,0.12,-48.534897,0.0,78.69725244885771,2137.508595429953
27,0.08499999999999999,0.12,-15.492314000000007,0.0,79.44148909985039,2216.9500845298035
28,0.08499999999999999,0.11499999999999999,-60.36050899999999,0.0,78.48752649711491,2295.4376110269186
29,0.08499999999999999,0.11499999999999999,-61.47485999999999,0.0,78.45306439416885,2373.8906754210875
30,0.08499999999999999,0.11499999999999999,-70.13976799999999,0.0,78.25882003331955,2452.149495454407
31,0.08499999999999999,0.11499999999999999,-88.23349400000001,0.0,77.86581608741194,2530.015311541819
32,0.08499999999999999,0.11499999999999999,-136.07058500000005,0.0,76.84658101217437,2606.861892553993
33,0.09,0.12,-69.34749500000001,0.0,78.14970128173616,2685.0115938357294
34,0.095,0.125,-50.71443200000001,0.0,78.4870054348387,2763.498599270568
35,0.09,0.12,-63.30143300000002,0.0,78.25625235990947,2841.7548516304773
